Type,Key,Summary,Resolution Date,Open,NEW!,Investigation,Ready for Refinement,On Hold,Waiting for Answer,In Progress,Code review,Ready for Testing,In Testing,Pending,Canceled,Done,,,,,,
,PAYLYNX-1238,Needed to check what version is used for customer authentication service,,,117.62h,0.00h,,,428.85h,,,,,,,1487.70h,,,,,,
,PAYLYNX-1237,when this ID was used last time,,,3.93h,0.05h,,,568.52h,,,,,,,1487.67h,,,,,,
,PAYLYNX-1236,Update standard inquiry template to adapt to E-Invoice,,2060.22h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1235,PIS does not work (seems like this affects all merchants),,,49.02h,0.00h,,,568.55h,,,,,,,1487.70h,,,,,,
,PAYLYNX-1234,Review & Improve existing Grafana alerts,,2008.35h,,,,,,120.60h,2.75h,,,,,,,,,,,
Production bug,PAYLYNX-1233,Warden: refund xml,,2.87h,,,,,,66.73h,,,52.87h,,,2012.25h,,,,,,
,PAYLYNX-1232,Failed PIS payments,,,0.28h,0.00h,,,2134.85h,,,,,,,,,,,,,
,PAYLYNX-1214,E-invoices: SkyVault testing,,2172.77h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1213,E-invoices: Update Recovery plan,,2173.38h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1212,INBOKSS_continuation PAYLYNX-1151,,,5.18h,0.77h,,,686.18h,,,,,,,1487.72h,,,,,,
,PAYLYNX-1211,CORE Deletion constrain violation,2/9/26,52.35h,,,,,,75.97h,19.08h,115.53h,25.13h,,,1896.45h,,,,,,
,PAYLYNX-1210,TESTING - adding Procurement number to CREBIT.PF_ENTRY,2/6/26,180.78h,,,,,,0.00h,,0.00h,39.97h,,,1964.05h,,,,,,
,PAYLYNX-1209,last log from ID EER,,,0.78h,27.52h,,,686.97h,,,,,,,1487.72h,,,,,,
,PAYLYNX-1208,Has there been no contact with the bank at all using those ID?,,,1.68h,0.00h,,,714.48h,,,,,,,1487.72h,,,,,,
,PAYLYNX-1207,E-invoices: placeholder,3/23/26,1343.60h,,,,,,,,,,,884.85h,,,,,,,
,PAYLYNX-1206,E-invoices: placeholder,3/9/26,1007.75h,,,,,,,,,,,1220.72h,,,,,,,
,PAYLYNX-1205,E-invoices: placeholder,2/24/26,696.68h,,,,,,,,,,,1531.78h,,,,,,,
,PAYLYNX-1204,E-invoices: placeholder for whatever is next,2/6/26,259.97h,,,,,,,,,,,1968.52h,,,,,,,
,PAYLYNX-1203,E-invoices: get AD amendments approved,3/9/26,1007.88h,,,,,,,,,,,1220.67h,,,,,,,
,PAYLYNX-1202,CORE notification sent to local adress,2/4/26,12.05h,,,,,,160.63h,48.02h,3.32h,0.00h,,,2005.77h,,,,,,
,PAYLYNX-1201,E-invoices: Map all the dependencies with einvoices component,2/3/26,56.00h,,,,,,138.92h,,,,,,2035.80h,,,,,,
,PAYLYNX-1200,MUDIA_Issue with the New API v3,,,26.67h,0.00h,,,716.38h,,,,,,,1488.83h,,,,,,
,PAYLYNX-1199,Closure of passive MBBL EE agreements,,117.05h,0.72h,0.62h,,,488.03h,,,,,,,1695.90h,,,,,,
,PAYLYNX-1198,when those ID was used last time,,,47.00h,0.07h,,,0.02h,,,,,,,2255.98h,,,,,,
,PAYLYNX-1197,IBANK 4001 packets errors,,0.00h,,,,,,2.07h,3.30h,3.70h,0.00h,,,2296.02h,,,,,,
,PAYLYNX-1196,when this ID was used last time,,,49.25h,0.00h,,,0.08h,,,,,,,2255.98h,,,,,,
,PAYLYNX-1195,CORE - cache not cleared automatically after release,,0.23h,,,,,,96.77h,8.40h,23.77h,0.00h,,,2185.58h,,,,,,
,PAYLYNX-1194,STAR change enum to OPERATOR,2/9/26,280.63h,,,,,,27.85h,,0.73h,0.78h,119.53h,,1892.33h,,,,,,
,PAYLYNX-1193,CORE Merchant Id suggestion take too long for LT,2/4/26,95.62h,,,,,,95.38h,97.30h,23.88h,5.23h,,,2005.73h,,,,,,
,PAYLYNX-1192,MBBL agreement in STAR label updates,,2325.43h,0.08h,,,,,,,,,,,,,,,,,
,PAYLYNX-1191,when those ID was used last time?,,,4.18h,0.08h,,,17.38h,,,,,,,2324.27h,,,,,,
,PAYLYNX-1190,Add Procurement Numbers to db in PROD,1/26/26,141.82h,,,,,,,,,,,2228.05h,,,,,,,
,PAYLYNX-1189,problem with payments,,,33.50h,0.00h,,,17.38h,,,,,,,2324.27h,,,,,,
,PAYLYNX-1188,Prepare AD amendment for Unity Portfolio Epic,,2396.03h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1187,WORKER statement recheck,,0.72h,,,,,,19.18h,52.75h,69.00h,70.75h,,,2184.72h,,,,,,
,PAYLYNX-1186,Warden: certificates expired and certificate expiration not visable in grafana,,72.10h,,,,,,96.40h,,13.67h,0.00h,,,2219.25h,,,,,,
,PAYLYNX-1185,CORE: Separate Agreement and Refund limits in db to avoid concurrency gaps,,0.02h,,,,,,264.67h,267.80h,1.80h,24.22h,,,1843.00h,,,,,,
,PAYLYNX-1184,"MUDIA, not ANDPAY_iPhone users problem",,,65.73h,0.00h,,,76.42h,,,,,,,2324.27h,,,,,,
,PAYLYNX-1183,Worker: start using Andromeda CA truststore,,2469.20h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1182,Urgent!!! MELYNAIRGELTONA; MELYNAIRGELTON2,,,68.83h,75.42h,,,0.98h,,,,,,,2324.27h,,,,,,
Production bug,PAYLYNX-1181,pi.swedbank.com - V2 is not visible from menu,,72.10h,,,,,,2.08h,,0.68h,0.00h,,,2396.43h,,,,,,
,PAYLYNX-1180,E-INVOICE Autotest modernization,,2472.75h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1179,CORE failing Ui tests,1/20/26,0.00h,,,,,,106.72h,,,,,,2377.25h,,,,,,
,PAYLYNX-1178,Start using Core db in SkyVault for TEST,,2492.47h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1177,Start using new runner for MBBL,2/9/26,432.93h,,,,,,162.20h,1.47h,0.58h,0.00h,,,1895.45h,,,,,,
,PAYLYNX-1176,Change PIS agreement statuss for ID: EPLV_ZURAVSKA-R,,,1.67h,0.00h,,,167.57h,,,,,,,2324.27h,,,,,,
,PAYLYNX-1175,CORE: Low performance of 90 days turnover calculation,,1992.63h,,,,,,284.32h,201.30h,14.62h,3.33h,,,,,,,,,
,PAYLYNX-1174,CORE: Merchant turnover calculation does not include all successful finished payments,,17.98h,,,,,,,,,,,2496.15h,,,,,,,
,PAYLYNX-1173,MBBL system documentation improvements at the end of PI:2 2026,,2514.83h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1172,False alerts for warden and experience applications,1/19/26,0.00h,,,,,,48.52h,64.18h,0.00h,0.10h,,,2402.17h,,,,,,
,PAYLYNX-1171,MBBL agreement printing in STAR label updates in EE,,,25.42h,166.30h,,,68.20h,,,,,,,2256.07h,,,,,,
,PAYLYNX-1170,Provide Procurement number to CREBIT.PF_ENTRY,1/28/26,26.05h,,,,,,217.68h,,91.05h,0.00h,,,2184.83h,,,,,,
,PAYLYNX-1169,MBBL system documentation improvements,1/28/26,5.97h,,,,,,190.27h,139.75h,,,,,2184.75h,,,,,,
,PAYLYNX-1168,New team members onboarding,1/14/26,19.85h,,,,,,,,,,,,2520.90h,,,,,,
,PAYLYNX-1167,Refund is duplicated and client gets misleading error 400 when core API call lasts longer than 30 seconds,1/27/26,0.62h,,,,,,50.35h,166.50h,21.35h,100.67h,,,2203.15h,,,,,,
,PAYLYNX-1166,Need to check version of used auth service,,,0.73h,0.00h,,,218.03h,,,,,,,2324.27h,,,,,,
,PAYLYNX-1165,Close PIS agreements in PB level due the inactivity,,,21.37h,143.92h,,,0.00h,,,,,,,2400.23h,,,,,,
,PAYLYNX-1164,when this ID was used last time?,,,1.23h,71.13h,,,,,,,,,,2563.63h,,,,,,
Production bug,PAYLYNX-1163,Fix email list for fees,1/13/26,0.00h,,,,,,4.92h,72.33h,19.38h,1.42h,,,2543.47h,,,,,,
,PAYLYNX-1162,Change Artea bank logo before end of Jan Y26,2/3/26,475.08h,,,,,,49.13h,76.13h,26.98h,0.00h,,,2030.12h,,,,,,
Production bug,PAYLYNX-1161,Refund issues with multiplication and limit applicability,,20.98h,,,,,,9.33h,15.07h,97.38h,141.95h,,,2402.15h,,,,,,
,PAYLYNX-1160,Sandbox error showing during Failed payment,,2687.88h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1159,Close 276 LV agreements due to inactivity,,2.43h,1.57h,20.15h,,,,,,,,,,2708.87h,,,,,,
,PAYLYNX-1157,"False monitoring alerts due to changed ""job"" label value",,0.08h,,,,,,0.35h,66.45h,25.52h,0.18h,,,2711.87h,,,,,,
,PAYLYNX-1155,WORKER,1/2/26,0.52h,,,,,,0.00h,0.00h,2.85h,0.00h,,,2805.90h,,,,,,
,PAYLYNX-1154,update worker cert in test env,1/7/26,17.65h,,,,,,3.90h,48.77h,0.00h,118.02h,,,2687.12h,,,,,,
,PAYLYNX-1153,Telia informed us that they are not receiving payments from Atea and Luminor,,,0.73h,,,,,,,,,,,2877.05h,,,,,,
,PAYLYNX-1152,Implement MBBL Andromeda logs to Logread in PROD,1/25/26,387.58h,,,,,,199.38h,0.00h,59.03h,0.00h,,,2255.50h,,,,,,
,PAYLYNX-1151,Merchant does not receive a callback,,,19.95h,0.15h,,,,,,,,,,3045.83h,,,,,,
,PAYLYNX-1150,commision fee from another client's account,,,576.30h,,,,0.07h,,,,,,,2491.52h,,,,,,
,PAYLYNX-1149,when this ID was used last time,,,64.85h,0.02h,,,167.68h,,,,,,,2905.53h,,,,,,
,PAYLYNX-1148,Test: Invalid certificate,12/19/25,0.00h,,,,,,19.42h,0.58h,0.47h,0.47h,,,3143.67h,,,,,,
,PAYLYNX-1147,when this ID was used last time,,,18.48h,0.00h,,,263.40h,,,,,,,2905.53h,,,,,,
Production bug,PAYLYNX-1146,"WARDEN Statements polling, missing data",12/29/25,0.00h,,,,,,4.72h,0.00h,0.37h,287.92h,,,2904.02h,,,,,,
Production bug,PAYLYNX-1145,WORKER no logs,12/17/25,15.92h,,,,,,0.00h,0.00h,,,,,3197.10h,,,,,,
Production bug,PAYLYNX-1144,Static resources spamming logs,1/2/26,0.00h,,,,,,220.63h,107.20h,1.80h,98.25h,,,2804.42h,,,,,,
Production bug,PAYLYNX-1143,EXP missing mapping for error in swagger,12/16/25,2.12h,,,,,,0.05h,1.20h,3.42h,15.22h,,,3215.60h,,,,,,
,PAYLYNX-1142,"Login to Citadele page ,refundScenario=SANDBOX_REFUND  ",,95.52h,,,,,,342.35h,0.35h,89.62h,1.58h,,,2712.07h,,,,,,
,PAYLYNX-1141,downgrade spring boot version,,0.00h,,,,,,0.15h,1.82h,5.23h,43.60h,,,3192.33h,,,,,,
,PAYLYNX-1140,Check banklink-common and ibank for needed changes due to Operator,2/2/26,1248.05h,,,,,,,,,,,0.03h,2060.80h,,,,,,
,PAYLYNX-1139,Core: Assure backward compatibility for AgreementSummary,3/9/26,1743.72h,,,,,,0.63h,0.00h,0.72h,94.33h,172.10h,,1225.35h,,,,,,
Spike,PAYLYNX-1138,Find a solution how to support Operator based standard prices,2/18/26,1321.03h,,,,,,186.30h,122.72h,,,,,1678.87h,,,,,,
,PAYLYNX-1137,Show the operator agreement,1/2/26,502.08h,,,,,,,,,,,2806.87h,,,,,,,
,PAYLYNX-1136,STAR: show in star the list of operators and agreements,4/22/26,2472.17h,,,,,,361.43h,165.90h,90.53h,49.92h,,,169.02h,,,,,,
,PAYLYNX-1135,Core: test updates of merchant id suggestion endpoint,3/5/26,1991.70h,,,,,,0.00h,,0.00h,0.02h,,,1317.28h,,,,,,
,PAYLYNX-1134,Core: Attach Operator to existing Merchant agreement,3/16/26,2109.90h,,,,,,147.03h,,,,,1052.10h,,,,,,,
,PAYLYNX-1133,Core: Operator agreement - create agreement editing endpoints,3/5/26,1992.00h,,,,,,,,,,,1317.17h,,,,,,,
,PAYLYNX-1132,Review & update Service Offering dependency components in SNAP,,3354.45h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1131,API v2 swagger improvement,1/14/26,455.58h,,,,,,185.27h,193.33h,0.02h,0.00h,,,2520.77h,,,,,,
,PAYLYNX-1130,009 or API,,,0.72h,0.02h,,,,,,,,,,3383.93h,,,,,,
,PAYLYNX-1129,problem with the payment,,,0.45h,0.43h,,,,,,,,,,3404.15h,,,,,,
,PAYLYNX-1128,Callback incident Diginet,12/9/25,,0.20h,19.15h,,,0.15h,,,,,,,3361.73h,,,,,,
,PAYLYNX-1127,Notification incident 2nd December,,,0.98h,,,,,,,,,,,3408.13h,,,,,,
,PAYLYNX-1126,LT Merchant BIOSALA can not make refund,12/9/25,,0.00h,2.63h,,,91.67h,,,,,,,3361.67h,,,,,,
,PAYLYNX-1125,Fee debiting: Unable to debit fee,12/5/25,5.98h,,,,,,,,0.00h,,,,3475.77h,,,,,,
,PAYLYNX-1124,Response of PIS payment about refund functionality availability,1/20/26,1123.20h,,,,,,,,,,,2375.83h,,,,,,,
,PAYLYNX-1123,Request to resend notifications,,,2.60h,,,,591.37h,,,,,,,2905.53h,,,,,,
,PAYLYNX-1122,Claims from the customers related to MIP incident on the 2 nd December,,,4.87h,,,,591.38h,,,,,,,2905.52h,,,,,,
,PAYLYNX-1121,WARDEN: fix trace logging,12/10/25,167.33h,,,,,,,,,,,,3332.67h,,,,,,
,PAYLYNX-1120,Merchant ID: UZDEV1,,,27.68h,,,,591.38h,,,,,,,2905.50h,,,,,,
,PAYLYNX-1119,"Autotests are failing, check instant limits, SSL error",12/24/25,0.85h,,,,,,20.13h,0.00h,,,493.00h,,3013.13h,,,,,,
,PAYLYNX-1118,last time used,,,54.28h,,,,591.37h,,,,,,,2905.52h,,,,,,
,PAYLYNX-1231,"[DB] Add ""Procurement number"" field to E-invoice related Periodical Fees",,0.00h,,378.17h,3194.98h,,,,,,,,,,,,,,,
,PAYLYNX-1117,LT Merchant SEESAM complaining that they don't get from us final status notifications,,,1.85h,49.15h,,,42.18h,,,,,,,3480.08h,,,,,,
Production bug,PAYLYNX-1116,WARDEN restclient using small connection timeout,12/2/25,3.70h,,,,,,17.18h,0.02h,3.88h,,,,3549.25h,,,,,,
Production bug,PAYLYNX-1115,Missing Index in SQL,12/3/25,4.40h,,,,,,2.10h,0.00h,20.93h,19.52h,,,3529.90h,,,,,,
Production bug,PAYLYNX-1114,Worker failed to send report about calculation,,0.28h,,,,,,0.10h,4.12h,20.73h,22.30h,,,3529.33h,,,,,,
,PAYLYNX-1113,new special price,,,0.05h,,,,119.27h,,,,,,,3549.57h,,,,,,
Production bug,PAYLYNX-1112,"MBBL CORE: Errors in logs , unable to fetch user info ,service stable up and running , just logs are polluted with errors",12/1/25,83.22h,,,,,,13.70h,0.72h,,,,,3572.37h,,,,,,
,PAYLYNX-1227,"[STAR] Add ""Procurement number"" field to ""View/change seller agreement"" page",,0.00h,,22.70h,3668.45h,,,,,,,,,,,,,,,
,PAYLYNX-1228,"[STAR] Add ""Procurement number"" field to ""Seller agreement details"" page",,0.03h,,22.33h,3668.92h,,,,,,,,,,,,,,,
,PAYLYNX-1229,"[STAR] Add ""Procurement number"" field to ""New seller sgreement"" page",,0.00h,,19.23h,3672.08h,,,,,,,,,,,,,,,
,PAYLYNX-1230,[DB] Create new attribute for Procurement Number in einvoices.local_seller_agreement,,0.02h,,0.28h,3692.55h,,,,,,,,,,,,,,,
,PAYLYNX-1111,Core:Disable fees debiting and calculation before 28.11,11/27/25,24.22h,,,,,,2.63h,0.00h,1.63h,,,,3668.53h,,,,,,
,PAYLYNX-1110,Worker: cleanup job improvements,,3716.27h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1109,STAR: adding non customer IBAN for fee debiting,,3739.65h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1108,Payment collection account changes after agreement version update,,,72.83h,,,,,,,,,,,3746.27h,,,,,,
,PAYLYNX-1107,payment problems,,,26.93h,,,,65.00h,,,,,,,3746.23h,,,,,,
,PAYLYNX-1106,Add Merchant key downloading to sandbox,12/16/25,362.73h,,,,,,240.12h,18.50h,1.55h,0.25h,,,3215.33h,,,,,,
,PAYLYNX-1105,SANDBOX: when refreshing payment page status gets initial,,266.82h,,,,,,390.52h,36.37h,0.00h,72.53h,,,3073.40h,,,,,,
,PAYLYNX-1104,Clean-up of remaining 008 legacy - Part2,12/17/25,335.88h,,,,,,291.72h,18.88h,0.02h,23.17h,,,3193.88h,,,,,,
Production bug,PAYLYNX-1103,EXP Refund not visible in sandbox environment,11/19/25,0.00h,,,,,,0.07h,2.92h,,,,,3860.82h,,,,,,
,PAYLYNX-1102,Payment initiation service usage,,,9.45h,,,,,,,,,,,3858.57h,,,,,,
,PAYLYNX-1101,Test robots: add login-preprod.swedbank.ee to the list of allowed domains,11/18/25,2.42h,,,,,,0.00h,,,,,,3885.70h,,,,,,
,PAYLYNX-1100,SANDBOX: error on changing state,,2.17h,,,,,,3.47h,1.53h,4.63h,14.22h,,,3863.75h,,,,,,
,PAYLYNX-1099,AUTOSOIT question about stopped 7.11 payment,12/9/25,,93.57h,,,,431.82h,,,,,,,3356.77h,,,,,,
,PAYLYNX-1098,when this ID was used last time?,,,1.27h,,,,,,,,,,,3906.50h,,,,,,
,PAYLYNX-1097,"SkyVault testing, Core DB in TEST, LT / LV / EE - W4",1/25/26,1652.70h,,,,,,,,,,,2255.50h,,,,,,,
,PAYLYNX-1096,The version of the query being used is not allowed.,,,1.98h,,,,,,,,,,,3909.13h,,,,,,
,PAYLYNX-1095,Order firewalls for MBBL Github test,1/14/26,748.75h,,,,,,527.82h,,,,114.35h,,2520.82h,,,,,,
,PAYLYNX-1094,Andromeda applications migration to github,,3911.82h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1093,"SkyVault testing, TEST Core DB: 24-26 NOV",11/26/25,194.02h,,,,,,0.00h,0.02h,0.00h,22.80h,,,3696.45h,,,,,,
,PAYLYNX-1092,Create details message for refund fee debiting transactions,12/3/25,168.95h,,,,,,2.48h,27.23h,19.83h,166.50h,,,3529.93h,,,,,,
,PAYLYNX-1091,WARDEN: cleanup job takes only 1 batch with 4500 rows,,16.95h,,,,,,,,,,,3914.90h,,,,,,,
Spike,PAYLYNX-1090,Procurement number for Governmental company's VAT invoices in LT,12/29/25,736.40h,,,,,,338.22h,,,,,,2905.07h,,,,,,
,PAYLYNX-1089,Fees: disable calculation and debiting jobs in core,12/3/25,451.93h,,,,,,,,,,,3503.87h,,,,,,,
,PAYLYNX-1088,failed payment status,,,1.52h,0.00h,,,282.37h,,,,,,,3696.20h,,,,,,
Spike,PAYLYNX-1087,Investigate solution for Open packet users in MBBL API,,3981.48h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1086,autentification service,,,4.42h,282.33h,,,0.02h,,,,,,,3696.20h,,,,,,
,PAYLYNX-1085,Add party name in to MDM SWIC endpoint,12/29/25,1102.27h,,,,,,,,,,,2903.10h,,,,,,,
Production bug,PAYLYNX-1084,CORE MTLS for HUB,11/13/25,0.00h,,,,,,4.68h,0.00h,0.18h,,,,4002.43h,,,,,,
,PAYLYNX-1083,Inactive Customers BL/PIS/Auth,,,144.40h,0.00h,,,,,,,,,,3883.23h,,,,,,
,PAYLYNX-1082,The client says the issue is till ongoing,,,1.70h,0.00h,,,,,,,,,,4056.00h,,,,,,
,PAYLYNX-1081,"After id card update , members who have rights cannot access to our console",11/20/25,177.62h,,,,,,30.62h,11.25h,30.95h,,,,3829.12h,,,,,,
,PAYLYNX-1080,"MBBL fees: make possible to trigger warden jobs from core console, Create job in WARDEN for checking tasks",12/29/25,575.02h,,,,,,287.70h,73.90h,0.12h,239.22h,,,2905.35h,,,,,,
,PAYLYNX-1079,"MBBL fees: make possible to trigger warden jobs from core console, create andromeda library",,4081.37h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1078,Update owner info for our service in GIT,,,283.53h,216.95h,,,,,,,,,,3647.75h,,,,,,
Production bug,PAYLYNX-1077,"Investigate unexpected.unique_constraint_violation case , in debugger, warning logs",12/2/25,479.67h,,,,,,141.38h,0.73h,17.90h,3.23h,,,3551.22h,,,,,,
,PAYLYNX-1076,Clean-up in LV and EE old flow ibank pages,12/10/25,837.90h,,,,,,,,,,,3360.30h,,,,,,,
,PAYLYNX-1075,Migrate robots to newer Open Banking pages,,4198.45h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1074,Add Refund to Sandbox,11/19/25,0.38h,,,,,,315.55h,1.53h,4.67h,14.02h,,,3863.92h,,,,,,
,PAYLYNX-1073,Customer identification volumes needed,,,0.97h,,,,,,,,,,,4199.37h,,,,,,
Production bug,PAYLYNX-1072,CORE parsing of urlunencoded,12/2/25,357.25h,,,,,,146.13h,24.05h,17.18h,127.03h,,,3546.22h,,,,,,
Production bug,PAYLYNX-1071,EXp wrong link for sandbox,11/4/25,0.00h,,,,,,0.23h,0.00h,0.57h,,,,4218.98h,,,,,,
,PAYLYNX-1070,Merchant id: FAILIEM,,,6.10h,235.28h,,,0.00h,,,,,,,3978.58h,,,,,,
Production bug,PAYLYNX-1069,Low timeout in CORE,11/4/25,0.00h,,,,,,1.98h,0.00h,0.00h,,,,4219.53h,,,,,,
,PAYLYNX-1068,Move cron expressions from application source code to MBBL DB,,4224.47h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1067,failing ui test,11/5/25,0.00h,,,,,,5.25h,18.48h,,,,,4200.90h,,,,,,
,PAYLYNX-1066,last time used?,,,1.87h,0.00h,,,341.40h,,,,,,,3978.58h,,,,,,
,PAYLYNX-1065,Improving payment type selection for PIS,1/14/26,1799.53h,,,,,,0.18h,18.52h,4.15h,17.65h,,,2521.68h,,,,,,
,PAYLYNX-1063,MBBL Reporting: add auth statistics to weekly trx reports,4/1/26,3209.65h,,,,,,391.52h,180.40h,2.43h,30.13h,,,572.77h,,,,,,
,PAYLYNX-1062,Re-write agreement creation endpoint,2/6/26,1937.68h,,,,,,308.75h,189.47h,6.08h,48.05h,0.00h,,1964.20h,,,,,,
,PAYLYNX-1061,Core: Create operators endpoint,3/9/26,2611.30h,,,,,,448.83h,107.97h,39.58h,23.65h,,,1222.92h,,,,,,
,PAYLYNX-1060,"Change old agreements annex table and merchant agreement table, include operator settings.",1/9/26,1552.05h,,,,,,45.05h,,148.97h,73.05h,,,2635.17h,,,,,,
,PAYLYNX-1059,"Core, Exp, Warden: Re-name Everypay enum to Operator",2/13/26,2297.22h,,,,,,259.50h,48.62h,49.12h,4.28h,,,1795.68h,,,,,,
,PAYLYNX-1058,Change the logic for default public key,12/15/25,1047.13h,,,,,,77.98h,14.85h,16.17h,62.43h,,,3235.95h,,,,,,
,PAYLYNX-1057,Create new DB table for operator configuration,12/15/25,711.17h,,,,,,193.23h,196.83h,55.00h,62.43h,,,3235.95h,,,,,,
,PAYLYNX-1056,Rename existing EP type alias,3/31/26,3764.18h,,,,,,,,,,,690.73h,,,,,,,
,PAYLYNX-1055,EDS has performed corrections as per 009 version’s guidelines,,,67.85h,,,,1513.22h,,,,,,,2905.52h,,,,,,
,PAYLYNX-1054,Enable Paysera to existing MBBL agreements,,4512.20h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1053,Enable Paysera in STAR and donation pages,,4512.53h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1052,Testing Paysera payment before launch,,4529.05h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1051,Onboarding new LT bank - Paysera,,4529.22h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1050,Question from the client,,,17.95h,,,,1608.05h,,,,,,,2905.52h,,,,,,
,PAYLYNX-1049,MBBL-TEST connection check,12/17/25,720.83h,,,,,,625.10h,,,,,,3167.95h,,,,,,
,PAYLYNX-1048,Github Arch Decision for Docker-in-Docker,11/26/25,503.93h,,,,,,216.98h,,98.03h,22.77h,,,3696.37h,,,,,,
,PAYLYNX-1047,Refund is not visible in pdf if refund enabled,,0.00h,,,,,,0.10h,0.27h,0.00h,0.00h,,,4538.15h,,,,,,
,PAYLYNX-1046,CORE sonar 157 issues,10/30/25,281.23h,,,,,,34.82h,,,,,,4334.37h,,,,,,
,PAYLYNX-1045,STAR DEV technical error in agreement view,,65.57h,,,,,,50.23h,0.00h,0.00h,0.00h,,,4535.62h,,,,,,
,PAYLYNX-1044,EPS,,,2.60h,113.57h,,,,,,,,,,4535.38h,,,,,,
,PAYLYNX-1042,Check MDM dependency,12/3/25,938.13h,,,,,,189.93h,,,,,,3529.20h,,,,,,
,PAYLYNX-1041,pending payments in WooCommerce,,,167.17h,498.97h,,,25.72h,,,,,,,3983.93h,,,,,,
,PAYLYNX-1040,Clean-up of old donation pages in ibank,11/5/25,499.43h,,,,,,,,,,,4199.15h,,,,,,,
,PAYLYNX-1039,Migrate Support page content to pi.swedbank.com ,,4698.70h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1038,Failed payments with the reason merchant do not understand,,,21.95h,,,,,,,,,,,4677.47h,,,,,,
,PAYLYNX-1037,Clean-up signup for EE,,4705.73h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1036,Worker: trigger Agreement Summery after Double Customer Merge,10/15/25,0.55h,,,,,,,,,,,4705.92h,,,,,,,
,PAYLYNX-1035,CORE Failed on temp issue,11/5/25,347.38h,,,,,,122.03h,3.70h,21.18h,24.80h,,,4198.10h,,,,,,
,PAYLYNX-1034,Core: Trigger update to Agreement Summary after party data was updated,10/27/25,189.82h,,,,,,2.98h,48.32h,0.57h,68.85h,,,4414.80h,,,,,,
Spike,PAYLYNX-1033,Artifactory API keys migration to Access Tokens,,4727.42h,,,,,,,,,,,,,,,,,,
,PAYLYNX-1032,payments problem,,,1.72h,357.58h,,,,,,,,,,4489.15h,,,,,,
,PAYLYNX-1031,CORE trailing spaces in transactionId,10/21/25,101.70h,,,,,,97.45h,88.23h,0.57h,8.27h,,,4553.33h,,,,,,
,PAYLYNX-1030,Upgrade Donation page integration to API for payments,10/29/25,330.17h,,,,,,143.85h,1.77h,2.18h,25.40h,,,4362.22h,,,,,,
,PAYLYNX-1029,Merchant ID: PARKING,,,19.53h,3.50h,,,28.43h,,,,,,,4819.60h,,,,,,
,PAYLYNX-1028,EXP/CORE/WARDEN Network microsegmentation TEST <13.10 ordering,10/29/25,314.65h,,,,,,45.47h,,126.50h,32.08h,23.10h,,4355.67h,,,,,,
,PAYLYNX-1027,Not possible to update customer id for new db if there are records in RefundLimits,10/6/25,0.00h,,,,,,0.32h,0.00h,0.00h,1.57h,,,4919.00h,,,,,,
,PAYLYNX-1026,API v3 launch pre-requisites,10/29/25,598.28h,,,,,,5.37h,15.98h,0.00h,6.78h,,,4363.42h,,,,,,
,PAYLYNX-1025,"Sandbox: adding more status scenarios, small UI improvements",10/15/25,141.08h,,,,,,122.33h,21.42h,1.42h,3.60h,,,4701.03h,,,,,,
,PAYLYNX-1024,Update certificate for: psd2.api.swedbank.com Expiry: 2025-10-16 02:59:59,10/6/25,70.27h,,,,,,0.25h,0.95h,0.25h,0.02h,,,4920.32h,,,,,,
,PAYLYNX-1022,Update certificate for: dev-exp-mbbl-customer.w863.sb Expiry: 2025-10-30 12:09:40,10/29/25,504.25h,,,,,,147.33h,6.17h,0.28h,0.00h,,,4355.68h,,,,,,
,PAYLYNX-1021,Update certificate for: dev-core-multibank-banklink.w863.sb Expiry: 2025-10-30 12:08:16,10/29/25,627.47h,,,,,,24.32h,6.32h,0.15h,0.00h,,,4355.68h,,,,,,
,PAYLYNX-1020,Merchant ID: EPS - VK_REF; VK_MSG,,,2.28h,,,,550.60h,,,,,,,4489.05h,,,,,,
,PAYLYNX-1019,problem with new keys,,,1.78h,,,,122.50h,,,,,,,4918.45h,,,,,,
